date,holiday_name
"Jan 26, Thu",REPUBLIC DAY
"Feb 18, Sat",MAHA SHIVRATRI
"Mar 08, Wed",Holi
"Jul 28, Fri",Muharram
"Aug 15, Tue",Independence Day
"Sep 06, Wed",Janmastami
"Sep 19, Tue",Ganesh Puja
"Oct 02, Mon",Gandhi Jayanti
"Oct 24, Tue",Dussera
"Nov 12, Sun",Diwali
"Dec 25, Mon",Christmass
